State,County,Year,Unemployment,Median household income,Adult obesity,Poor mental health days,Premature death
AK,Anchorage Borough,1/1/2014,0.054,71094,0.257,3.0,6827.0
AK,Anchorage Borough,1/1/2015,0.05,76362,0.268,3.0,6856.0
AK,Bethel Census Area,1/1/2014,0.152,41722,0.315,2.6,13345.0
AK,Bethel Census Area,1/1/2015,0.154,42876,0.324,2.6,12864.0
AK,Dillingham Census Area,1/1/2014,0.096,47498,0.318,2.3,9699.0
AK,Dillingham Census Area,1/1/2015,0.095,47930,0.316,2.3,15057.0
AK,Fairbanks North Star Borough,1/1/2014,0.062,63979,0.291,3.0,5740.0
AK,Fairbanks North Star Borough,1/1/2015,0.058,67204,0.285,3.0,5862.0
AK,Haines Borough,1/1/2015,0.079,55295,0.284,2.0,7745.0
AK,Juneau Borough,1/1/2014,0.049,76967,0.26,3.0,5867.0
AK,Juneau Borough,1/1/2015,0.046,83642,0.269,3.0,6418.0
AK,Kenai Peninsula Borough,1/1/2014,0.084,60431,0.275,3.0,8656.0
AK,Kenai Peninsula Borough,1/1/2015,0.075,61629,0.275,3.0,6917.0
AK,Ketchikan Gateway Borough,1/1/2014,0.068,61296,0.292,3.2,8422.0
AK,Ketchikan Gateway Borough,1/1/2015,0.061,62619,0.28,3.2,7269.0
AK,Kodiak Island Borough,1/1/2014,0.062,61498,0.301,2.1,6891.0
AK,Kodiak Island Borough,1/1/2015,0.056,64782,0.315,2.1,6075.0
AK,Matanuska-Susitna Borough,1/1/2014,0.08,68109,0.298,3.3,6519.0
AK,Matanuska-Susitna Borough,1/1/2015,0.073,72371,0.298,3.3,6983.0
AK,Nome Census Area,1/1/2014,0.116,47022,0.356,2.4,17794.0
AK,Nome Census Area,1/1/2015,0.117,46471,0.341,2.4,15939.0
AK,North Slope Borough,1/1/2014,0.053,69138,0.356,1.7,10564.0
AK,North Slope Borough,1/1/2015,0.05,74174,0.342,1.7,8471.0
AK,Northwest Arctic Borough,1/1/2014,0.151,52945,0.297,1.8,13604.0
AK,Northwest Arctic Borough,1/1/2015,0.152,54600,0.297,1.8,12342.0
AK,Prince of Wales-Outer Ketchikan Census Area,1/1/2014,0.141,44721,0.337,2.8,8689.0
AK,Prince of Wales-Outer Ketchikan Census Area,1/1/2015,0.128,48175,0.355,2.8,9718.0
AK,Sitka Borough,1/1/2014,0.056,61771,0.282,2.5,7377.0
AK,Sitka Borough,1/1/2015,0.052,66038,0.288,2.5,8419.0
AK,Skagway-Hoonah-Angoon Census Area,1/1/2014,0.14,48137,0.302,1.9,10398.0
AK,Skagway-Hoonah-Angoon Census Area,1/1/2015,0.127,49138,0.309,1.9,6775.0
AK,Southeast Fairbanks Census Area,1/1/2014,0.112,56456,0.317,2.2,5734.0
AK,Southeast Fairbanks Census Area,1/1/2015,0.111,54922,0.325,2.2,7098.0
AK,Valdez-Cordova Census Area,1/1/2014,0.089,65098,0.283,3.4,7734.0
AK,Valdez-Cordova Census Area,1/1/2015,0.087,63541,0.297,3.4,5754.0
AK,Wade Hampton Census Area,1/1/2014,0.215,32860,0.276,3.5,18391.0
AK,Wade Hampton Census Area,1/1/2015,0.221,31274,0.346,3.5,18440.0
AK,Wrangell-Petersburg Census Area,1/1/2014,0.098,53745,0.309,3.3,9208.0
AK,Wrangell-Petersburg Census Area,1/1/2015,0.092,54624,0.301,3.3,5807.0
AK,Yukon-Koyukuk Census Area,1/1/2014,0.147,33998,0.29,2.5,16527.0
AK,Yukon-Koyukuk Census Area,1/1/2015,0.148,35114,0.263,2.5,16555.0
AL,Autauga County,1/1/2014,0.065,51441,0.305,3.6,8376.0
AL,Autauga County,1/1/2015,0.057,51868,0.313,3.6,8405.0
AL,Baldwin County,1/1/2014,0.068,48867,0.266,3.8,7770.0
AL,Baldwin County,1/1/2015,0.058,47539,0.25,3.8,7457.0
AL,Barbour County,1/1/2014,0.112,30287,0.373,4.3,9458.0
AL,Barbour County,1/1/2015,0.1,30981,0.384,4.3,8901.0
AL,Bibb County,1/1/2014,0.076,37392,0.343,5.1,11544.0
AL,Bibb County,1/1/2015,0.068,39781,0.373,5.1,10729.0
AL,Blount County,1/1/2014,0.062,44225,0.304,3.9,8506.0
AL,Blount County,1/1/2015,0.056,44392,0.309,3.9,8669.0
AL,Butler County,1/1/2014,0.109,30605,0.383,3.5,11006.0
AL,Butler County,1/1/2015,0.093,31041,0.384,3.5,10357.0
AL,Calhoun County,1/1/2014,0.076,39212,0.332,5.1,11097.0
AL,Calhoun County,1/1/2015,0.073,37898,0.315,5.1,10539.0
AL,Chambers County,1/1/2014,0.093,32320,0.354,4.3,10368.0
AL,Chambers County,1/1/2015,0.073,33883,0.397,4.3,11864.0
AL,Cherokee County,1/1/2014,0.071,37868,0.314,5.2,9409.0
AL,Cherokee County,1/1/2015,0.057,37478,0.303,5.2,10513.0
AL,Chilton County,1/1/2014,0.065,39621,0.383,4.9,10330.0
AL,Chilton County,1/1/2015,0.058,41348,0.37,4.9,10911.0
AL,Choctaw County,1/1/2014,0.09,33390,0.389,4.6,11985.0
AL,Choctaw County,1/1/2015,0.078,33581,0.402,4.6,13412.0
AL,Clarke County,1/1/2014,0.121,34606,0.36,3.0,9309.0
AL,Clarke County,1/1/2015,0.108,34593,0.352,3.0,10709.0
AL,Clay County,1/1/2014,0.093,34579,0.353,5.3,9915.0
AL,Clay County,1/1/2015,0.082,33344,0.374,5.3,8959.0
AL,Cleburne County,1/1/2014,0.069,38235,0.313,5.2,10738.0
AL,Cleburne County,1/1/2015,0.062,40407,0.304,5.2,10438.0
AL,Coffee County,1/1/2014,0.062,45631,0.299,3.6,8403.0
AL,Coffee County,1/1/2015,0.062,44666,0.285,3.6,8015.0
AL,Colbert County,1/1/2014,0.076,39771,0.322,4.8,10591.0
AL,Colbert County,1/1/2015,0.068,40032,0.339,4.8,10657.0
AL,Conecuh County,1/1/2014,0.116,27110,0.363,5.2,12942.0
AL,Conecuh County,1/1/2015,0.103,27196,0.391,5.2,13362.0
AL,Coosa County,1/1/2014,0.082,32960,0.343,4.6,11435.0
AL,Coosa County,1/1/2015,0.081,35175,0.372,4.6,12160.0
AL,Covington County,1/1/2014,0.075,34017,0.338,5.2,9830.0
AL,Covington County,1/1/2015,0.072,35187,0.323,5.2,9667.0
AL,Crenshaw County,1/1/2014,0.072,33648,0.357,3.8,9645.0
AL,Crenshaw County,1/1/2015,0.063,34105,0.371,3.8,9103.0
AL,Cullman County,1/1/2014,0.064,37938,0.324,4.4,9060.0
AL,Cullman County,1/1/2015,0.055,40142,0.344,4.4,8967.0
AL,Dale County,1/1/2014,0.073,40125,0.353,3.9,8912.0
AL,Dale County,1/1/2015,0.071,41805,0.344,3.9,8571.0
AL,Dallas County,1/1/2014,0.137,27400,0.414,3.6,12899.0
AL,Dallas County,1/1/2015,0.127,27524,0.417,3.6,12349.0
AL,DeKalb County,1/1/2014,0.085,37644,0.324,4.9,9153.0
AL,DeKalb County,1/1/2015,0.07,36713,0.321,4.9,9413.0
AL,Elmore County,1/1/2014,0.068,52324,0.306,4.4,8604.0
AL,Elmore County,1/1/2015,0.06,51650,0.301,4.4,8198.0
AL,Escambia County,1/1/2014,0.089,33588,0.369,4.7,10538.0
AL,Escambia County,1/1/2015,0.08,33455,0.383,4.7,11112.0
AL,Etowah County,1/1/2014,0.072,35737,0.318,5.0,11524.0
AL,Etowah County,1/1/2015,0.065,38587,0.338,5.0,11057.0
AL,Fayette County,1/1/2014,0.08,35720,0.364,5.2,11965.0
AL,Fayette County,1/1/2015,0.073,35661,0.363,5.2,11627.0
AL,Franklin County,1/1/2014,0.082,33173,0.343,4.4,10556.0
AL,Franklin County,1/1/2015,0.077,33332,0.335,4.4,11761.0
AL,Geneva County,1/1/2014,0.069,33347,0.34,3.4,9114.0
AL,Geneva County,1/1/2015,0.065,35378,0.345,3.4,9086.0
AL,Greene County,1/1/2014,0.114,24592,0.479,5.3,10935.0
AL,Greene County,1/1/2015,0.101,25864,0.481,5.3,11968.0
AL,Hale County,1/1/2014,0.099,31025,0.416,4.1,13943.0
AL,Hale County,1/1/2015,0.099,33597,0.362,4.1,10098.0
AL,Henry County,1/1/2014,0.073,37108,0.346,3.5,9577.0
AL,Henry County,1/1/2015,0.068,41590,0.341,3.5,10462.0
AL,Houston County,1/1/2014,0.07,40609,0.349,4.3,8370.0
AL,Houston County,1/1/2015,0.062,39636,0.329,4.3,8128.0
AL,Jackson County,1/1/2014,0.071,39618,0.3,5.3,11018.0
AL,Jackson County,1/1/2015,0.063,37204,0.29,5.3,11273.0
AL,Jefferson County,1/1/2014,0.068,43967,0.322,3.9,10485.0
AL,Jefferson County,1/1/2015,0.06,45024,0.329,3.9,10235.0
AL,Lamar County,1/1/2014,0.076,33940,0.313,6.0,10051.0
AL,Lamar County,1/1/2015,0.069,36475,0.328,6.0,8782.0
AL,Lauderdale County,1/1/2014,0.067,41536,0.322,3.6,8601.0
